block_number,timestamp,date,totalSupplyAssets,totalSupplyShares,totalBorrowAssets,totalBorrowShares,utilization_rate,fee,totalSupplyAssets_formatted,totalBorrowAssets_formatted,availableLiquidity_formatted,is_projection
19326981,1725443309.0,2024-09-04 11:48:29,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
19629381,1726048109.0,2024-09-11 11:48:29,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
19931781,1726652909.0,2024-09-18 11:48:29,213969000794.0,213871135100246910,198738521109.0,198643115707535447,92.8819223212323,0.0,213969.000794,198738.521109,15230.479684999998,False
20234181,1727257709.0,2024-09-25 11:48:29,297309837495.0,297026835174876132,271787151931.0,271510407390454511,91.41545877558484,0.0,297309.837495,271787.151931,25522.685563999985,False
20536581,1727862509.0,2024-10-02 11:48:29,645166283765.0,644219341359458938,605196989944.0,604239629169404997,93.80480740751811,0.0,645166.283765,605196.989944,39969.29382099991,False
20838981,1728467309.0,2024-10-09 11:48:29,1602109205159.0,1599640878703818193,709154209890.0,707901758118238185,44.263787237875626,0.0,1602109.205159,709154.20989,892954.9952689998,False
21141381,1729072109.0,2024-10-16 11:48:29,1340119489904.0,1337867259523176636,1300947642801.0,1298394482708722450,97.07698847766135,0.0,1340119.489904,1300947.642801,39171.84710299992,False
21443781,1729676909.0,2024-10-23 11:48:29,5714785805686.0,5702283593341748280,5435995812616.0,5422440325632669885,95.12160205912504,0.0,5714785.805686,5435995.812616,278789.99306999985,False
21746181,1730281709.0,2024-10-30 10:48:29,7151852803181.0,7133095151466279585,6783634572620.0,6763494867457321612,94.85142884376447,0.0,7151852.803181,6783634.57262,368218.2305610003,False
22048581,1730886509.0,2024-11-06 10:48:29,9756486465754.0,9723474589293744317,9615722660820.0,9579416142264867191,98.55722851225089,0.0,9756486.465754,9615722.66082,140763.8049340006,False
22350981,1731491309.0,2024-11-13 10:48:29,16790966558997.0,16717575576289248191,16658678050211.0,16578257612819134956,99.21214476652557,0.0,16790966.558997,16658678.050211,132288.50878600217,False
22653381,1732096109.0,2024-11-20 10:48:29,10359417869700.0,10291833614339676608,9668294104699.0,9600015918168582666,93.32854631704306,0.0,10359417.8697,9668294.104699,691123.765000999,False
22955781,1732700909.0,2024-11-27 10:48:29,13814488416019.0,13702036887510227771,11799073120551.0,11694821884217738905,85.41085826145421,0.0,13814488.416019,11799073.120551,2015415.2954680007,False
23258181,1733305709.0,2024-12-04 10:48:29,12335371469820.0,12216366899796317006,11338486217866.0,11219152725310145467,91.91848211143862,0.0,12335371.46982,11338486.217866,996885.2519540004,False
23560581,1733910509.0,2024-12-11 10:48:29,19904227560062.0,19674839962748026601,16395022692851.0,16188369160456686517,82.36955010375661,0.0,19904227.560062,16395022.692851,3509204.867210999,False
23862981,1734515309.0,2024-12-18 10:48:29,28962304615076.0,28594616462911809470,26091415714443.0,25725760314560699319,90.0874984267012,0.0,28962304.615076,26091415.714443,2870888.9006330036,False
24165381,1735120109.0,2024-12-25 10:48:29,35675894192127.0,35174848782083502422,27988651822907.0,27553495981269722321,78.45255867219039,0.0,35675894.192127,27988651.822907,7687242.369219996,False
24467781,1735724909.0,2025-01-01 10:48:29,32125879327601.0,31634418681319467465,28332443048700.0,27851104925498573010,88.19196125274036,0.0,32125879.327601,28332443.0487,3793436.2789009996,False
24770181,1736329709.0,2025-01-08 10:48:29,29585529756028.0,29094320574436530011,24859479977139.0,24400464433736415327,84.02580647410556,0.0,29585529.756028,24859479.977139,4726049.778889,False
25072581,1736934509.0,2025-01-15 10:48:29,35496610107714.0,34869932376092370588,25261145943582.0,24762576976764767483,71.16495312348809,0.0,35496610.107714,25261145.943582,10235464.164131999,False
25374981,1737539309.0,2025-01-22 10:48:29,66349410770241.0,65112268671545545758,52622959274797.0,51521108742168533818,79.31187129456683,0.0,66349410.770241,52622959.274797,13726451.495444,False
25677381,1738144109.0,2025-01-29 10:48:29,78426308141569.0,76880872123861269756,60978612057209.0,59626894673008559687,77.7527509609852,0.0,78426308.141569,60978612.057209,17447696.084360003,False
25979781,1738748909.0,2025-02-05 10:48:29,79593178805338.0,77953416919951045073,64293630580202.0,62798739048455522055,80.77781481431433,0.0,79593178.805338,64293630.580202,15299548.225135997,False
26282181,1739353709.0,2025-02-12 10:48:29,93063810057040.0,91081177470415070609,71038304828315.0,69322674073060240865,76.3328997434929,0.0,93063810.05704,71038304.828315,22025505.228725,False
26584581,1739958509.0,2025-02-19 10:48:29,115326637027021.0,112744870951249142046,104696942087836.0,102043499295696706090,90.78296635260901,0.0,115326637.027021,104696942.087836,10629694.939185008,False
26886981,1740563309.0,2025-02-26 10:48:29,135625797975337.0,132411364667140227238,116326702676073.0,113211233470747639477,85.77033603682578,0.0,135625797.975337,116326702.676073,19299095.299264,False
27189381,1741168109.0,2025-03-05 10:48:29,134306749328351.0,130990165192117073554,120237892406237.0,116882961940686510085,89.524832525193,0.0,134306749.328351,120237892.406237,14068856.922113985,False
27491781,1741772909.0,2025-03-12 10:48:29,156392475990475.0,152377238676596449882,124879989931818.0,121257039311680214887,79.85038227761272,0.0,156392475.990475,124879989.931818,31512486.058657005,False
27750945,1742291237.0,2025-03-18 10:47:17,154746753012752.0,150674978842766648038,125329538215419.0,121592725698110191128,80.9900923769891,0.0,154746753.012752,125329538.215419,29417214.797333002,False
,,2025-04-01 10:47:17,,,,,81.17687551173461,,157990531.12964052,128251776.77543661,29738754.35420391,True
,,2025-04-15 10:47:17,,,,,81.35614308669734,,161234309.246529,131174015.33545423,30060293.911074787,True
,,2025-04-29 10:47:17,,,,,81.52833975943771,,164478087.36341754,134096253.89547184,30381833.467945695,True
,,2025-05-13 10:47:17,,,,,81.69387578841246,,167721865.48030606,137018492.45548946,30703373.024816602,True
,,2025-05-27 10:47:17,,,,,81.8531302962927,,170965643.59719455,139940731.01550707,31024912.58168748,True
,,2025-06-10 10:47:17,,,,,82.00645416870451,,174209421.71408308,142862969.5755247,31346452.138558388,True
,,2025-06-24 10:47:17,,,,,82.15417263504192,,177453199.8309716,145785208.1355423,31667991.695429295,True
,,2025-07-08 10:47:17,,,,,82.29658757130365,,180696977.9478601,148707446.69555992,31989531.252300173,True
,,2025-07-22 10:47:17,,,,,82.43397955926781,,183940756.06474862,151629685.25557753,32311070.80917108,True
,,2025-08-05 10:47:17,,,,,82.5666097315623,,187184534.1816371,154551923.81559515,32632610.36604196,True
,,2025-08-19 10:47:17,,,,,82.69472142816024,,190428312.29852563,157474162.37561277,32954149.922912866,True
,,2025-09-02 10:47:17,,,,,82.81854168640945,,193672090.41541415,160396400.93563038,33275689.479783773,True
,,2025-09-16 10:47:17,,,,,82.93828258379122,,196915868.53230265,163318639.495648,33597229.03665465,True
,,2025-09-30 10:47:17,,,,,83.05414245011478,,200159646.64919117,166240878.0556656,33918768.59352556,True
,,2025-10-14 10:47:17,,,,,83.16630696372303,,203403424.76607966,169163116.61568323,34240308.15039644,True
,,2025-10-28 10:47:17,,,,,83.27495014445418,,206647202.8829682,172085355.17570084,34561847.707267344,True
,,2025-11-11 10:47:17,,,,,83.3802352545286,,209890980.9998567,175007593.73571846,34883387.26413825,True
,,2025-11-25 10:47:17,,,,,83.48231561716992,,213134759.11674523,177929832.29573607,35204926.82100916,True
,,2025-12-09 10:47:17,,,,,83.58133536159342,,216378537.23363373,180852070.8557537,35526466.37788004,True
,,2025-12-23 10:47:17,,,,,83.67743010197451,,219622315.35052225,183774309.4157713,35848005.934750944,True
,,2026-01-06 10:47:17,,,,,83.77072755712352,,222866093.46741074,186696547.97578892,36169545.49162182,True
,,2026-01-20 10:47:17,,,,,83.86134811682118,,226109871.58429927,189618786.53580654,36491085.04849273,True
,,2026-02-03 10:47:17,,,,,83.94940536009575,,229353649.7011878,192541025.09582418,36812624.60536361,True
,,2026-02-17 10:47:17,,,,,84.03500653013299,,232597427.8180763,195463263.65584177,37134164.162234545,True
,,2026-03-03 10:47:17,,,,,84.11825296999451,,235841205.9349648,198385502.2158594,37455703.71910539,True
,,2026-03-17 10:47:17,,,,,84.19924052286652,,239084984.0518533,201307740.775877,37777243.2759763,True
